SampleName	Breed
CMT-60	Shih Tzu
CMT-318	Shih Tzu
CMT-613	Shih Tzu
CMT-184	Shih Tzu
CMT-400	Shih Tzu
CMT-292	Shih Tzu
CMT-247	Shih Tzu
CMT-63	Shih Tzu
CMT-232	Shih Tzu
CMT-2	Shih Tzu
CMT-233	Shih Tzu
CMT-344	Yorkshire Terrier
CMT-156	Shih Tzu
CMT-241	Shih Tzu
CMT-111	Shih Tzu
CMT-354	Yorkshire Terrier
CMT-129	Shih Tzu
DD0008	NA
CMT-74	Shih Tzu
CMT-495	Shih Tzu
CMT-417	Shih Tzu
CMT-348	Shih Tzu
CMT-365	Shih Tzu
CMT-686	Shih Tzu
CMT-659	Shih Tzu
CMT-523	Shih Tzu
AleKee	Greyhound
FBB	Greyhound
GenCon	Greyhound
AlvWen	Greyhound
SanSte	Greyhound
ColWym	Greyhound
GalLyo	Greyhound
TacRei	Greyhound
GraWie	Greyhound
HBB	Greyhound
HemBig	Greyhound
GarLar	Greyhound
PurRow	Greyhound
DiaPar	Greyhound
TriPar	Greyhound
AllSmi	Greyhound
JohMar	Greyhound
ShaRin	Greyhound
JoeVar	Greyhound
MinMei	Greyhound
PhaMor	Greyhound
PepRey	Greyhound
JacMay	Greyhound
CCB060138	Golden Retriever
CCB010005	Golden Retriever
CCB060099	Golden Retriever
CCB020156	Golden Retriever
CCB010060	Golden Retriever
CCB030078	Golden Retriever
CCB010023	Golden Retriever
DD0081	NA
CCB030061	Golden Retriever
CCB060066	Golden Retriever
CCB060148	Golden Retriever
DD0099	NA
CCB070053	Golden Retriever
CCB050102	Golden Retriever
CCB020071	Golden Retriever
CCB010069	Golden Retriever
CCB070049	Golden Retriever
CCB010102	Golden Retriever
CCB070044	Golden Retriever
CCB050015	Golden Retriever
DD0001	NA
CCB010059	Golden Retriever
CCB040033	Golden Retriever
CCB010035	Golden Retriever
CMT-116	Yorkshire Terrier
CMT-109	Yorkshire Terrier
CMT-106	Yorkshire Terrier
CMT-33	Yorkshire Terrier
CMT-136	Yorkshire Terrier
CMT-24	Yorkshire Terrier
CMT-353	Yorkshire Terrier
CMT-538	Yorkshire Terrier
CMT-634	Yorkshire Terrier
CMT-340	Yorkshire Terrier
CMT-124	Yorkshire Terrier
CMT-711	Yorkshire Terrier
CMT-128	Yorkshire Terrier
CMT-638	Yorkshire Terrier
CMT-153	Yorkshire Terrier
DD0071	NA
DD0085	NA
DD0014	NA
DD0097	NA
DD0015	NA
DD0044	NA
CCB070051	Golden Retriever
DD0095	NA
DD0060	NA
DD0069	NA
DD0063	NA
DD0098	NA
DD0062	NA
DD0072	NA
DD0070	NA
DD0096	NA
DD0005	NA
